a, 1540139333.3048, -0.6119, 0.3301, -0.2960, 0.6550, 2, -3, -11, -42, 3, 4, 3, 2, 
a, 1540139333.3628, -0.6112, 0.3301, -0.2972, 0.6551, 5, 3, -6, 41, -9, 1, -1, 4, 
a, 1540139333.4165, -0.6111, 0.3307, -0.2969, 0.6549, -1, -4, -6, -33, 8, 0, 4, 8, 
a, 1540139333.4674, -0.6103, 0.3295, -0.2994, 0.6553, -4, 3, 19, 49, 1, -3, -2, -3, 
a, 1540139333.5203, -0.6103, 0.3294, -0.2994, 0.6553, -2, -2, 10, 71, 2, -2, -2, -4, 
a, 1540139333.5731, -0.6110, 0.3322, -0.2985, 0.6536, 1, -2, -9, 35, -21, 4, 1, -5, 
a, 1540139333.6251, -0.6111, 0.3327, -0.3000, 0.6526, -1, 1, 0, 2, 8, -2, -3, 6, 
a, 1540139333.6788, -0.6115, 0.3334, -0.3010, 0.6513, 1, -2, -7, -22, 5, 1, 0, -1, 
a, 1540139333.7387, -0.6113, 0.3364, -0.3005, 0.6502, -2, 5, 7, 28, -4, -3, -4, -4, 
a, 1540139333.7905, -0.6111, 0.3373, -0.3009, 0.6498, -4, -4, -8, -38, 7, -1, 1, -4, 
a, 1540139333.8504, -0.6099, 0.3369, -0.3023, 0.6505, 1, -12, -16, 22, -18, 5, 11, 5, 
a, 1540139333.9103, -0.6096, 0.3378, -0.3019, 0.6505, 1, 3, 15, 24, 8, 3, 0, -3, 
a, 1540139333.9711, -0.6089, 0.3375, -0.3026, 0.6509, -5, -2, -2, -4, 2, -4, -6, -4, 
a, 1540139334.0309, -0.6073, 0.3362, -0.3022, 0.6533, 2, 0, -6, -9, 8, 1, 3, 2, 
a, 1540139334.0907, -0.6018, 0.3366, -0.3015, 0.6585, -5, 2, -5, -5, -1, 2, -4, -3, 
a, 1540139334.1596, -0.5977, 0.3364, -0.2988, 0.6636, -5, -6, 2, 0, 2, 0, -2, -1, 
a, 1540139334.2104, -0.5829, 0.3378, -0.3011, 0.6749, 1, 2, 2, -10, -13, -5, 2, -3, 
a, 1540139334.2792, -0.5709, 0.3408, -0.2947, 0.6863, -3, -1, 1, 4, 5, -1, -2, -1, 
a, 1540139334.3302, -0.5618, 0.3372, -0.2910, 0.6971, 5, -1, -3, -8, 5, 4, 5, 2, 
a, 1540139334.3830, -0.5458, 0.3371, -0.2906, 0.7100, 2, 3, 1, 0, -5, -7, -4, -2, 
a, 1540139334.4358, -0.5336, 0.3397, -0.2823, 0.7213, 13, 12, 18, 13, -1, -2, -2, 7, 
a, 1540139334.4878, -0.5156, 0.3411, -0.2778, 0.7352, 24, -3, -14, -33, -27, 33, 16, 15, 
a, 1540139334.5405, -0.4543, 0.3632, -0.2776, 0.7646, -7, 19, 20, 26, 0, -17, -17, -6, 
a, 1540139334.5934, -0.3790, 0.3954, -0.2604, 0.7950, 3, 15, -5, -16, -3, 0, 4, 4, 
a, 1540139334.6463, -0.3508, 0.4184, -0.2366, 0.8036, 14, 4, 0, -19, -23, 1, -3, 8, 
a, 1540139334.6981, -0.3115, 0.4391, -0.2139, 0.8151, 7, -4, 0, -3, -16, 4, 12, 7, 
a, 1540139334.7502, -0.2924, 0.4482, -0.2018, 0.8203, -7, -9, -7, -7, 22, 10, -1, 5, 
a, 1540139334.8030, -0.2815, 0.4572, -0.1858, 0.8229, -8, -22, 0, -7, 21, 17, -3, -5, 
a, 1540139334.8559, -0.2772, 0.4601, -0.1805, 0.8239, -13, -15, -1, 0, 53, 16, 1, -4, 
a, 1540139334.9247, -0.2782, 0.4612, -0.1813, 0.8228, 1, 14, 5, 32, 3, -14, -7, -5, 
a, 1540139334.9756, -0.2784, 0.4657, -0.1879, 0.8187, 11, -11, -4, -14, -12, -13, -3, 7, 
a, 1540139335.0285, -0.2782, 0.4680, -0.1885, 0.8173, 0, -15, -10, -40, -85, -39, -7, -12, 
a, 1540139335.0813, -0.2778, 0.4686, -0.1895, 0.8168, -10, -24, 9, 25, -1, 3, -4, -4, 
a, 1540139335.1341, -0.2794, 0.4678, -0.1916, 0.8163, -1, 6, 1, -9, 18, 5, -4, -1, 
a, 1540139335.1850, -0.2806, 0.4675, -0.1907, 0.8162, 12, 18, -2, 26, 7, -4, -1, -1, 
a, 1540139335.2548, -0.2791, 0.4680, -0.1907, 0.8165, 4, -12, 4, -6, 1, -2, 0, 4, 
a, 1540139335.3057, -0.2802, 0.4675, -0.1964, 0.8151, -6, -4, -9, -31, -33, -23, -6, -5, 
a, 1540139335.3655, -0.2805, 0.4685, -0.1982, 0.8139, -4, -9, -9, -34, -22, -4, -8, -5, 
a, 1540139335.4343, -0.2797, 0.4700, -0.1970, 0.8137, -2, -21, -1, 4, -2, 6, 8, 1, 
a, 1540139335.4853, -0.2802, 0.4698, -0.1991, 0.8130, 15, 8, 3, -17, -34, -14, 2, 6, 
a, 1540139335.5450, -0.2812, 0.4695, -0.2009, 0.8125, 4, 4, -2, -24, 5, 16, 3, 10, 
a, 1540139335.6059, -0.2831, 0.4703, -0.2010, 0.8113, 10, 3, 5, 4, 6, 3, 9, 17, 
a, 1540139335.6657, -0.2834, 0.4706, -0.2023, 0.8107, -6, -6, -10, -17, -16, -5, 5, -4, 
a, 1540139335.7345, -0.2842, 0.4709, -0.2041, 0.8098, 1, -11, -3, 3, -1, 0, 1, 6, 
a, 1540139335.7855, -0.2853, 0.4707, -0.2057, 0.8091, -5, 5, -2, -12, -26, -17, -8, -6, 
a, 1540139335.8454, -0.2856, 0.4705, -0.2067, 0.8089, 16, 21, 4, 14, 13, -1, 1, 6, 
a, 1540139335.9061, -0.2862, 0.4704, -0.2075, 0.8085, -3, 8, -6, 9, 44, 21, 0, -3, 
a, 1540139335.9659, -0.2878, 0.4704, -0.2075, 0.8080, 2, 5, 5, 5, 0, -2, 0, -3, 
a, 1540139336.0258, -0.2890, 0.4699, -0.2075, 0.8078, -6, -3, -3, -5, -7, -8, -3, -5, 
a, 1540139336.0856, -0.2902, 0.4690, -0.2081, 0.8077, 7, 23, 9, 24, 13, 7, 1, 0, 
a, 1540139336.1544, -0.2903, 0.4684, -0.2084, 0.8080, 0, 8, -1, -6, 9, 0, -2, -1, 
a, 1540139336.2055, -0.2894, 0.4687, -0.2084, 0.8082, -9, -13, -7, -6, -20, -2, -4, -8, 
a, 1540139336.2654, -0.2887, 0.4694, -0.2081, 0.8080, 6, -10, -7, -10, -19, -9, 0, 4, 
a, 1540139336.3251, -0.2880, 0.4705, -0.2086, 0.8076, 4, -32, 2, 24, 8, -7, -1, 14, 
a, 1540139336.3941, -0.2881, 0.4706, -0.2094, 0.8072, 8, 13, -4, -9, 21, 14, 3, 3, 
a, 1540139336.4458, -0.2885, 0.4708, -0.2091, 0.8071, 9, 17, 3, 20, 47, 30, 3, 5, 
a, 1540139336.4997, -0.2878, 0.4709, -0.2094, 0.8071, -5, -6, -3, -9, -6, 2, 5, -1, 
a, 1540139336.5516, -0.2873, 0.4713, -0.2095, 0.8071, 13, 1, 4, 2, -46, -18, 1, 5, 
a, 1540139336.6114, -0.2870, 0.4714, -0.2101, 0.8069, -11, -5, -4, 5, 14, 2, 2, -3, 
a, 1540139336.6792, -0.2867, 0.4717, -0.2106, 0.8068, -13, -6, -9, -8, 19, 0, -8, -9, 
a, 1540139336.7311, -0.2860, 0.4720, -0.2119, 0.8065, -4, 7, 2, 1, 6, 0, 0, 1, 
a, 1540139336.7909, -0.2864, 0.4715, -0.2141, 0.8061, -5, -2, 0, -1, -7, -7, -9, -2, 
a, 1540139336.8429, -0.2885, 0.4708, -0.2160, 0.8053, -5, -7, 2, 25, 23, 7, 1, 4, 
a, 1540139336.8956, -0.2894, 0.4700, -0.2172, 0.8051, 6, -2, -3, -7, -4, -1, 1, 5, 
a, 1540139336.9575, -0.2885, 0.4692, -0.2181, 0.8056, -4, 0, 5, 8, 14, 3, -2, 0, 
a, 1540139337.0083, -0.2886, 0.4687, -0.2219, 0.8048, -4, -3, -2, 5, 2, -2, -8, -7, 
